All,Wszystko
Reports,Raporty
"Viewing combined ""%1"" report from segments: %2.","Wyświetlanie łącznego ""%1"" raportu z segmentów: %2."
"The Customer Segment data has been refreshed.","Dane segmentu klientów zostały odświeżone."
Union,Związek
Intersection,"Część wspólna"
Specified,Wybrane
"Applies to All of the Specified Customer Segments","Odnosi się do wszystkich wyszczególnionych segmentów klienckich"
"Apply to the Selected Customer Segments","Zastosuj do wybranych segmentów klienckich"
contains,zawiera
"does not contains","nie zawiera"
"Matched %1 Customers of Segment %2","Dopasowano %1 klientów z segmentu %2"
"Unknown operator specified.","Nieznany operator."
"Conditions Combination","Kombinacja warunków"
"Product List","Lista produktów"
"Product History","Historia produktu"
"Wrong ""ApplyTo"" type","Niewłaściwy typ ""ApplyTo"""
"If Customer Addresses match %1 of these Conditions:","Jeśli adres klienta spełnia %1 z warunków:"
"Address Attributes","Cechy adresu"
"Customer Address %1","Adres klienta %1"
"Default Address","Domyślny adres"
Billing,Rozliczenie
Shipping,Dostawa
"Customer Address %1 Default %2 Address","Adres klienta %1 Domyślny %2 adres"
"Has State/Province","Ma województwo"
"If Customer Address %1 State/Province specified","Jeśli w adresie klienta %1 jest określone województwo"
has,ma
"does not have","nie ma"
exists,istnieje
"does not exist","nie istnieje"
"Customer %1","Klient %1"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Customer is %1 to newsletter.","Klient %1 jest przypisany do newslettera."
subscribed,subskrybowało
"not subscribed","nie subskrybowało"
"Customer Store Credit Amount %1 %2:","Saldo kredytu kupieckiego klienta %1 %2:"
"Date Range","Zakres dat"
"Open Chooser","Otwórz selektor"
"Date Range %1 within %2","Zakres dat od %1 do %2"
"If Order Addresses match %1 of these Conditions:","Jeżeli adres zamówienia pasuje do warunków %1:"
"Order Address Attributes","Cechy adresu zamówienia"
"Order Address %1","Adres zamówienia %1"
"Address Type","Typ adresu"
"Order Address %1 a %2 Address","Zamówienia adres %1 %2 adres"
"Order Status","Stan zamówienia"
Any,Dowolny
"Order Status %1 %2:","Status zamówienia %1 %2:"
"Product Attributes","Cechy produktu"
"Product %1","Produkt %1"
"Date Ranges","Zakresy dat"
viewed,obejrzało
ordered,zamówiło
was,było
"was not","nie było"
"If Product %1 %2 and matches %3 of these Conditions:","Jeśli produkt %1 %2 i spełnia %3 z warunków:"
"Wish List","Lista życzeń"
found,znaleziono
"not found","nie znaleziono"
"If Product is %1 in the %2 with %3 of these Conditions match:","Jeśli produkt jest %1 w %2 z %3 z warunków:"
"Order Address","Adres zamówienia"
"Sales Amount","Kwota sprzedaży"
"Number of Orders","Liczba zamówień"
"Purchased Quantity","Ilość zakupionych"
Sales,Sprzedaż
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 podczas kiedy %5 z tych warunków pasują:"
Total,Łącznie
Average,Średnia
"If Customer Segment %1 %2","Jeśli segment kliencki %1 %2"
matches,pasuje
"does not match","nie pasuje"
"is one of","jest jednym z"
"is not one of","nie jest jednym z"
"Shopping Cart Total","Wartość koszyka"
"Grand Total",Łącznie
Tax,Podatek
"Gift Card","Karta podarunkowa"
"Shopping Cart %1 Amount %2 %3:","Zakupy koszyka %1 na kwotę %2 %3:"
"Unknown quote total specified.","Określono nieznaną kwotę."
"Number of Cart Line Items","Liczba pozycji koszyka"
"Number of Shopping Cart Line Items %1 %2:","Liczba linii pozycji w koszyku %1 %2:"
"Products Quantity","Ilość produktów"
"Shopping Cart Products Qty %1 %2:","Liczba produktów w koszyku %1 %2:"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"greater than","większy niż"
"less than","mniej niż"
"Up To Date",Aktualne
"Period %1 %2 Days Up To Date","Okres %1 %2 dni do daty"
"Customer Segment","Segment kliencki"
"Use in Customer Segment","Wykorzystaj w segmencie klienckim"
"Please choose a condition to add.","Wybierz warunek do dodania."
"Enable Customer Segment Functionality","Włącz funkcję segmentacji klienckiej"
"Refresh Data","Odśwież dane"
"Manage Segments","Zarządzaj segmentami"
CSV,CSV
"Excel XML","Excel XML"
Group,Grupa
Phone,Telefon
ZIP,"Kod pocztowy"
"Customer Since","Klient od"
"View Combined Report","Zobacz łączny raport"
Set,Ustaw
"AVS result code","Kod wyników AVS"
"CVN result code","Kod wyników CVN"
"Card number","Numer karty"
"Card expiry date","Karta ważna do"
Decision,Decyzja
"Risk Score","Ocena ryzyka"
"Risk Factor","Czynnik ryzyka"
"Reference number","Numer referencyjny"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Częsta zmiana adresu. Klient zmienił adres rozliczeniowy dwa lub więcej razy w ciągu ostatnich sześciu miesięcy"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Ryzyko BIN lub autoryzacji karty. Czynniki ryzyka związane z kartą kredytową BIN lub kontrolą autoryzacji karty"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Duża liczba numerów kont. Klienta użył więcej niż sześć numerów kart kredytowych w ciągu ostatnich sześciu miesięcy"
"Email address impact. The customer uses a free email provider, or the email address is risky","Wpływ adresu e-mail. Klient używa darmowego dostawcy poczty elektronicznej, lub adres e-mail jest podejrzany"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista pozytywna. Klient jest na liście pozytywnej. Poradnik Zarządzania Decyzją dla Programistów Używających Prostego Zamówienia AP ze stycznia 201 10 dodatku Informacji i Kodu Odpowiedzi"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negatywna. Numer konta, ulica, adres e-mail lub adres IP dla tego zamówienia pojawia się na liście negatywne"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Niespójności geolokacji. Domena adresu e-mail klienta, numer telefonu, adres rozliczeniowy, adres wysyłkowy lub adres IP klienta są podejrzane"
"Excessive name changes. The customer changed the name two or more times in the last six months","Nadmierne zmiany nazwy. Klient zmienił nazwę dwa lub więcej razy w ciągu ostatnich sześciu miesięcy"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Niespójności Internetu. Adres IP i domena e-mail nie są zgodne z adresem rozliczeniowym"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Bezsensowne dane wejściowe. Pola nazwy i adresu klienta zawierają słowa lub język nie mające znaczenia"
"Obscenities. The customer’s input contains obscene words","Obsceniczność. Dane wejściowe klienta zawiera wulgaryzmy"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Metamorfozy tożsamości. Wiele wartości elementu tożsamości są połączone z wartościami elementów różnych tożsamości. Na przykład wiele numerów telefonicznych jest połączonych z jednym kontem"
"Phone inconsistencies. The customer’s phone number is suspicious","Niespójność telefonu. Numer telefonu klienta jest podejrzany"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Ryzykowne zamówienia. Transakcja, klient i informacja handlowa pokazuje wiele korelacji wysokiego ryzyka"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Ramy czasowe. Klient próbuje dokonać zakupu poza zwykłymi godzinami"
"Unverifiable address. The billing or shipping address cannot be verified","Adres niemożliwy do zweryfikowania. Nie można zweryfikować adresu rozliczeniowego lub adresu wysyłki"
"Velocity. The account number was use  many times in the past 15 minutes","Pilne. Numer konta był wykorzystany wiele razy w ciągu ostatnich 15 minut"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Oznaczone jako podejrzane. Adres rozliczeniowy lub adres wysyłki są podobne do adresu poprzednio oznaczonego jako podejrzany"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Zamówienie prezent. Adres, miasto, region lub kraj płatności adresów rozliczenia i wysyłki nie korelują ze sobą"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Nieprawidłowa wartość. Ponieważ zapytanie zawiera nieoczekiwaną wartość, została zastąpiona wartością domyślną. Chociaż transakcja nadal może być przetworzona, zbadaj ją z punktu widzenia o nieprawidłowości w zamówieniu"
"Unknown factor. Please contact Cybersource customer service","Nieznany czynnik. Skontaktuj się z obsługa klienta Cybersource"
"Payment Token Build Error.","Błąd kompilacji tokenu płatności."
"Your payment has been declined. Please try again.","Twoja płatność została odrzucona. Proszę spróbować ponownie."
"CC type field should be provided","Należy podać pole CC"
"Gateway validation error","Błąd sprawdzania poprawności bramy"
"Authorize Only","Tylko autoryzacja"
"Risk Factor Q","Czynnik ryzyka Q"
"Risk Factor V","Czynnik ryzyka V"
Cybersource,CyberSource
"Transaction Key","Klucz transakcji"
"Profile ID","Identyfikator profilu"
"Access Key","Klucz dostępu"
"Secret Key","Tajny klucz"
"New Order Status","Status nowego zamówienia"
"Test Mode","Tryb testowy"
"Minimum Order Total","Minimalna suma zamówienia"
"Maximum Order Total","Maksymalna suma zamówienia"
"Document is not saved due to error.","Dokument nie jest zapisany ze względu na błąd."
"More than one node matching the query: %1","Więcej niż jeden wynik pasuje do zapytania: %1"
"Invalid XML in file %1:\n%2","Nieprawidłowy kod XML w pliku %1:\n%2"
"Invalid Document \n%1","Nieprawidłowy dokument \n%1"
"There is no such data mapper ""%1"" for interface %2","There is no such data mapper ""%1"" for interface %2"
"Data mapper ""%1"" must implement interface %2","Data mapper ""%1"" must implement interface %2"
"We were unable to perform the search because of a search engine misconfiguration.","Nie udało nam się przeprowadzić wyszukiwanie ze względu na błędny silnik wyszukiwania."
"Could not ping search engine: %1","Nie można pingować silniku wyszukiwarki: %1"
"Elasticsearch Server Hostname","Nazwa hosta serwera Elasticsearch"
"Elasticsearch Server Port","Port serwera Elasticsearch"
"Elasticsearch Index Prefix","Indeks prefiks Elasticsearch"
"Enable Elasticsearch HTTP Auth","Włącz HTTP Auth w Elasticsearch"
"Elasticsearch HTTP Username","Nazwa użytkownika HTTP Elasticsearch"
"Elasticsearch HTTP Password","Hasło HTTP Elasticsearch"
"Elasticsearch Server Timeout","Czas odpowiedzi serwera Elasticsearch"
"Test Connection","Przetestuj połączenie"
"Private Sales","Sprzedaż prywatna"
BeagleScore,BeagleScore
"Address Verification","Weryfikacja adresu"
"Email Verification","Weryfikacja adresu e-mail"
"Mobile Verification","Mobilna weryfikacja"
"Phone Verification","Weryfikacja numeru telefonu"
"Response Code","Kod Wiadomości"
"Fraud Message","Wiadomość oszustwa"
"Approve Message","Zatwierdzanie wiadomości"
"Wrong response type","Błędny typ odpowiedzi"
"Transaction has been declined. Please try again later.","Transakcja została odrzucona. Prosimy spróbować ponownie później."
eWAY,eWAY
"Connection Type","Typ połączenia"
"Sandbox Mode","Tryb testowy"
"Live API Key","Live API Key"
"Live API Password","Live API hasło"
"Live Client-side Encryption Key","Live Client - boczne szyfrowanie klucza"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Hasło"
"Sandbox Client-side Encryption Key","Sandbox Client - boczne szyfrowanie klucza"
"Gift Card Information","informacje o karcie podarunkowej"
Virtual,Wirtualny
Physical,Fizyczne
Combined,Łącznie
"Add Amount","Dodaj kwotę"
"Gift Card Type","Rodzaj karty podarunkowej"
"Gift Card Sender","Nadawca karty podarunkowej"
"Gift Card Recipient","Odbiorca karty podarunkowej"
"Gift Card Message","Wiadomość dołączona do karty podarunkowej"
"Gift Card Lifetime","Okres ważności karty podarunkowej"
"Gift Card Is Redeemable","Karta podarunkowa jest wymienialna"
"We cannot create this gift card.","Nie możemy utworzyć karty podarunkowej."
N/A,N/D
"Gift Card Accounts","Konta Gift Card"
"Duplicate amount found.","Znaleziono zdubplikowaną wartość."
"Something went wrong while preparing the gift card.","Wystąpił błąd w trakcie tworzenia karty podarunkowej."
"Please specify a gift card amount.","Proszę podać kwotę karty podarunkowej."
"Please specify all the required information.","Proszę podać wszystkie wymagane informacje."
"Gift Card max amount is %1","Maksymalna kwota karty podarunkowej to: %1"
"Gift Card min amount is %1","Minimalna kwota karty podarunkowej to: %1"
"Please specify a recipient name.","Proszę podać nazwę odbiorcy."
"Please specify a sender name.","Proszę podać nazwę nadawcy."
"Please specify a recipient email.","Proszę podać adres e-mail odbiorcy."
"Please specify a sender email.","Proszę podać adres e-mail nadawcy."
Ordered,Zamówione
Invoiced,Zafakturowane
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Część kart podarunkowych nie została utworzona poprawnie. Możesz utworzyć je ręcznie <a href=""%1"">tutaj</a>."
"Treat Balance as Store Credit","Traktowanie bilansu jako kredyt sklepu"
"Lifetime (days)","Okres ważności (dni)"
"Allow Message","Pozwól na wysłanie wiadomości"
"Email Template","Szablon e-mail"
"All Websites [%1]","Wszystkie strony %1"
"%1 [%2]",%1[%2]
Availability:,Dostępność:
"Out of stock","Brak w magazynie"
"Choose an Amount...","Wybierz kwotę..."
"Other Amount...","Inna kwota..."
"Amount in %1","Kwota w %1"
Minimum,Minimum
Maximum,Maksimum
"Sender Name","Nazwa nadawcy"
"Sender Email","E-mail nadawcy"
"Recipient Name","Nazwa odbiorcy"
"Recipient Email","E-mail odbiorcy"
Message,Wiadomość
"Maximum length of the message is %1 characters.","Wiadomość może zawierać maksymalna %1 znaków."
"Delete Amount","Usuń kwotę"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maksimum: %1"
Availability,Dostępność
"In stock","W magazynie"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender wysłał kartę podarunkową do użycia tu <a href=""%store_url"">%store_name</a> i jest gotowa do wykorzystania na zakupy."
"Gift Card Codes:","Kod Karty Podarunkowej:"
"Gift Card Code:","Kod Karty Podarunkowej:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Karta ma środki w wysokości %balance które mogą być użyte w <a href=""%store_url""> %store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Karta ma środki w wysokości %balance które mogą być użyte w <a href=""%store_url""> %store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Kliknij na kod(y) powyżej, aby zamienić je na kredyt w sklepie."
"Message from %sender_name:","Wiadomość od %sender_name:"
"Gift Cards","Karty podarunkowe"
"Gift Card Email Settings","Ustawienia e-mail konta Gift Card"
"Gift Card Notification Email Sender","Nadawca wiadomości e-mail o karcie podarunkowej"
"Gift Card Notification Email Template","Szablon wiadomości e-mail informującej o karcie podarunkowej"
"Gift Card General Settings","Ustawienia ogólne konta Gift Card"
Redeemable,Wymienialna
"If empty no expiration.","Jeśli puste bezterminowo."
"Allow Gift Message","Pozwól na wysłanie wiadomości"
"Gift Message Maximum Length","Maksymalna długość wiadomości dołączonej do karty podarunkowej"
"Generate Gift Card Account when Order Item is","Generowanie konta Gift Card , gdy zamówienie jest"
"Add Gift Card Account","Dodaj konto karty upominkowej"
"Save & Send Email","Zapisz i wyślij E-mail"
"Edit Gift Card Account: %1","Edycja konta Karty Podarunkowej: %1"
"New Gift Card Account","Nowe konto Karty Podarunkowej"
"More Information","Więcej informacji"
Information,Informacje
"Gift Card Code","Kod Karty Podarunkowej"
"Send Gift Card","Wyślij Kartę Podarunkową"
"Send Email from the Following Store View","Wyślij e-mail z następującego widoku sklepu"
"-- First Please Select a Website --","-- Najpierw proszę wybrać witrynę --"
"Gift Card Account","Konto kart podarunkowych"
History,Historia
"This gift card account has been deleted.","Ta karta upominkowa została usunięta."
"We couldn't find a gift card account to delete.","Nie mogliśmy znaleźć konta karty upominkowej, aby usunąć."
"Edit Gift Card Account","Edytuj konto karty upominkowej"
"New Account","Nowe Konto"
"New code pool was generated.","Nowy kod został wygenerowany."
"We were unable to generate a new code pool.","Byliśmy w stanie wygenerować nowy kod."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Kod używany: <b>%1%</b> (wolna <b>%2</b> <b>%3</b> całkowita). Wygenerowanie nowego kodu <a href=""%4""> tutaj</a>."
"Please select a gift card account(s)","Wybierz konto karty upominkowej"
"You deleted a total of %1 records.","Usunięto w sumie %1 rekord(ów)."
"You saved the gift card account.","Konto Karty upominkowej zostało zapisane."
"An email was not sent because the gift card account is not active.","Wiadomość e-mail nie została wysłana, ponieważ Konto karty upominkowej nie jest aktywne."
"You saved the gift card account, but an email was not sent.","Konto Karty upominkowej zostało zapisane, ale nie wysłano e-mail."
"We will refund the gift card amount to your customer’s store credit","Otrzymasz zwrot kwoty karty podarunkowej na Twój kredyt kliencki w sklepie"
"Please enable Store Credit to refund the gift card amount to your customer","Proszę włączyć obsługę Kredytu Sklepu w celu zwrotu klientowi kwoty karty podarunkowej"
"Please correct the gift card code.","Proszę poprawić kod karty upominkowej."
"Gift Card ""%1"" was added.","Karta prezentowa ""%1"" została dodana."
"We cannot apply this gift card.","Nie stosujemy tej karty prezentowej."
"Gift Card ""%1"" was removed.","Karta podarunkowa ""%1"" została usunięta."
"You can't remove this gift card.","Nie można usunąć karty podarunkowej."
"You can't redeem a gift card now.","Możesz teraz wykupić kartę prezentową."
"Gift Card ""%1"" was redeemed.","Karta prezentowa ""%1"" została wykorzystana."
"We cannot redeem this gift card.","Nie można wykupić tej karty prezentowej."
"The expiration date must be set in the future.","Data wygaśnięcia musi być ustawiona w przyszłości."
"The balance cannot be less than zero.","Saldo nie może być mniejsza od zera."
"This gift card account is already in the quote.","To konto karty upominkowej jest już w ofercie."
"Please correct the gift card account code: ""%1"".","Proszę poprawić kod konta karty upominkowej: ""%1""."
"This gift card account wasn't found in the quote.","To konto karty upominkowej nie został przeczytany."
"Please correct the gift card account ID. Requested code: ""%1""","Proszę poprawić identyfikator konta karty upominkowej. Zgłoszony kod: ""%1"""
"Please correct the gift card account website: %1.","Proszę poprawić stronę Konto karty upominkowej: %1."
"Gift card account %1 is not enabled.","Konto karty upominkowej %1 nie jest włączone."
"Gift card account %1 is expired.","Konto karty upominkowej %1 jest skończony."
"Gift card account %1 has a zero balance.","Konto karty upominkowej %1 ma zerowe saldo."
"Gift card account %1 balance is lower than the charged amount.","Konto karty upominkowej %1 jest niższa niż opłatę."
Available,Dostępne
Redeemed,Wykupiłem
Expired,Przeterminowane
"Please enter a valid customer ID.","Wprowadź poprawny identyfikator klienta."
"Gift Card Redeemed: %1. For customer #%2.","Karta upominkowa wykupona: %1. Dla klienta #%2."
Sent,Wysłano
"Order #%1.","Zamówienie #%1."
"Recipient: %1.","Odbiorca: %1."
"Customer #%1.","Klient %1."
"Please assign a gift card account.","Przypisz konto karty podarunkowej."
"Unknown history action.","Nieznana historia działań."
"We were unable to create full code pool size. Please check settings and try again.","Nie udało nam się stworzyć pełny rozmiar puli kodu. Proszę sprawdzić ustawienia i spróbuj ponownie."
"No codes left in the pool.","Nie ma kodów."
"Cart %1 doesn't contain products","W koszyku %1 nie ma żadnych produktów"
"Could not delete gift card from quote","Nie można usunąć karty podarunkowej z koszyka"
"Could not add gift card code","Nie można dodać kod karty prezentowej"
"Please correct the wrong or expired Gift Card Code.","Proszę poprawić źle lub wygasły kod karty prezentowej."
Alphabetical,Alfabetyczne
Numeric,Numeryczny
"The maximum generated code length is 255. Please correct your settings.","Maksymalna długość wygenerowanego kodu może być ustawiona na 255 znaków. Popraw swoje ustawienia."
"test message","test message"
Generate,Wygeneruj
"Code Pool used:","Code Pool używany:"
(free,"(za darmo"
of,z
total).,ogółem).
"Are you sure you want to continue without saving your changes?","Czy na pewno chcesz porzucić zmiany?"
"Refund Gift Cards to Store Credit","Zwrot karty upominkowej do sklepu kredytowego"
"Add Gift Card","Dodaj kartę upominkową"
"Gift Card (%1)","Karta Podarunkowa (%1)"
"This won't take long . . .","To nie potrwa długo..."
"Enter gift card code","Wprowadź kod Karty Podarunkowej"
"Redeem Gift Card","Realizacja karty upominkowej"
"Check status and balance","Sprawdź status i saldo"
"Have a gift card?","Mam kartę upominkową?"
"Click here","Kliknij tutaj"
"to redeem it.","aby to zrealizować."
"Enter the gift card code","Wpisz kod karty prezentowej"
"Check Gift Card status and balance","Sprawdź status i saldo Karty Podarunkowej"
"Gift Card:","Karta podarunkowa:"
"Current Balance:","Aktualne saldo:"
Expires:,Wygasa:
"Please enter a valid gift card code.","Proszę wprowadzić poprawny kod Karty Podarunkowej."
"Add or remove gift cards","Dodawanie lub usuwanie kart podarunkowych"
"Gift Card amount applied to order:","Kwota na karcie upominkowej stosowane do zamówienia:"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Wysłałeś Bon do wykorzystania w %store_name i to jest teraz gotowy do wykorzystania na zakupy."
"Gift Card Code: %code","Kod karty podarunkowej: %code"
"The card has a balance of %balance and can be used at","Karta ma bilans %balance i może być użyta w"
%store_name,%store_name
"Apply Gift Card","Zastosowanie karty upominkowej"
"See Balance","Sprawdzić saldo"
"Email Sent from Gift Card Account Management","E-mail wysłany z zarządzania kontem karty prezent"
"Gift Card Email Sender","Nadawcy wiadomości E-mail karty upominkowej"
"Gift Card Template","Szablonu karty upominkowej"
"Gift Card Account General Settings","Konto karty upominkowej ogólne ustawienia"
"Code Length","Długość kodu"
"Excluding prefix, suffix and separators.","Bez prefiksu, sufiksu i separatorów."
"Code Format","Format kodu"
"Code Prefix","Prefiks kodu"
"Code Suffix","Sufiks kodu"
"Dash Every X Characters","Kreska co każde X znaków"
"if empty no separation","brak oddzielenia jeśli puste"
"New Pool Size","Nowy rozmiar puli"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","Ważne: Pamiętaj zapisać konfigurację przed uruchomieniem procesu generowania."
"Are you sure you want to delete these gift card accounts?","Czy na pewno chcesz usunąć te konta kart upominkowych?"
Code,Kod
"Are you sure you want to delete this gift registry?","Czy na pewno chcesz usunąć ten rejestr prezentów?"
"Delete Registry","Usuń rejestr"
"Gift Registry Entity","Element rejestru prezentów"
"Product ID","ID produktu"
"Add to Gift Registry","Dodaj do rejestru prezentów"
"Are you sure you want to add these products?","Czy jesteś pewien, że chcesz dodać te produkty?"
Requested,Wymagany
Fulfilled,Wypełniony
Note,Notatka
"Update Quantity","Aktualizacja Ilości"
"Remove Item","Usuń produkt"
"Sharing Information","Współdzielone informacja"
Emails,E-maile
"Send From","Wysłane od"
"Share Gift Registry","Podziel się rejestrem prezentów"
"Gift Registry","Rejestr prezentów"
Event,Wydarzenie
Registrants,Rejestrujący
"Event Date","Data wydarzenia"
"Total Items","Łącznie elementów"
Remaining,Pozostałe
Public,Publiczny
"Gift Registry Types","Typ rejestru prezentów"
"Add Gift Registry Type","Dodaj typ rejestru prezentów"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Jeżeli usuniesz ten typ rejestru prezentów, usuniesz także Klientów, którzy używają tego typu. Czy chcesz kontynuować?"
"Edit '%1' Gift Registry Type","Edytuj typ rejestru prezentów '%1'"
"New Gift Registry Type","Nowy typ rejestru prezentów"
"Add Attribute","Dodaj cechę"
Short,Krótkie
Medium,Średni
Long,Długie
Full,Pełne
"Add New Option","Dodaj nową opcję"
"Delete Option","Usuń opcję"
"Is Listed","Znajduje się na liście"
"New Address","Nowy adres"
"Edit Gift Registry","Edytuj rejestr prezentów"
"Create Gift Registry","Utwórz rejestr prezentów"
"Please select a region, state or province","Proszę wybrać region"
"Please Select",Wybierz
"View Gift Registry %1","Wyświetl rejestr prezentów %1"
"Share '%1' Gift Registry","Podziel się '%1' rejestrem prezentów"
"-- Please select --",--Wybierz--
"Gift Registry Search","Wyszukiwanie rejestru prezentów"
"Select Search Type","Wybierz typ wyszukiwania"
Registrant,Rejestrujący
"Registry owner","Właściciel rejestru"
"Please correct the  gift registry ID.","Proszę popraw ID rejestru prezentu."
"Please correct the gift registry entity.","Proszę popraw rejestr prezentu."
"Shopping cart items have been added to gift registry.","Przedmioty z koszyka zostały dodane do rejestru prezentów."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Produktów wirtualnych, do pobrania i wirtualnych kart podarunkowych nie można dodać do listy prezentów."
"We can't add shopping cart items to the gift registry right now.","Teraz nie można dodać produktów z koszyka do rejestru prezentów."
"You deleted this gift registry entity.","Ten rejestr prezentów został usunięty."
"We couldn't delete this gift registry entity.","Ten rejestr prezentów nie mógł zostać usunięty."
"Edit '%1' Gift Registry","Edycja rejestru prezentów '%1'"
"Something went wrong while editing the gift registry.","Coś poszło nie tak podczas edycji rejestru prezentów."
"Please enter at least one email address.","Proszę podaj przynajmniej jeden adres e-mail."
"%1 email(s) were sent.","Wysłano: %1 wiadomości e-mail."
"We couldn't send '%1 of %2 emails.","Nie można było wysłać %1 z %2 maili."
"You updated this gift registry.","Zaktualizowałeś ten rejestr prezentów."
"We can't update these gift registry items right now.","Teraz nie można zaktualizować tych rejestrów prezentów."
"You deleted the gift registry type.","Usunąłeś ten typ rejestru prezentów."
"We couldn't delete this gift registry type.","Nie można usunąć tego typu rejestru prezentu."
%1,%1
"Edit Type","Edytuj typ"
"New Type","Nowy typ"
"You saved the gift registry type.","Typ rejestru prezentu został zapisany"
"We can't save this gift registry type right now.","Teraz nie można zapisać tego typu rejestru prezentów."
"Page not found.","Nie znaleziono strony."
"Please correct the gift registry ID.","Proszę popraw ID rejestru prezentu."
"%1 item(s) have been added to the gift registry.","%1 produkt(y) zostały dodane do rejestru prezentów."
"We have nothing to add to this gift registry.","Nie mam nic do dodania do rejestru prezentów"
"You can't add virtual products, digital products or gift cards to gift registries.","Nie można dodać wirtualnego produktu, cyfrowego produktu lub karty prezentowej do rejestru prezentów."
"You deleted this gift registry.","Usunąłeś ten rejestr prezentów."
"Something went wrong while deleting the gift registry.","Coś poszło nie tak podczas usuwania rejestru prezentów."
"Please correct the gift registry.","Proszę popraw rejestr produktów."
"Incorrect Type","Niepoprawny typ"
"Please correct the registrant data.","Proszę popraw dane rejestracyjne"
"Address is empty.","Adres jest pusty."
"Please select an address.","Proszę wybrać adres"
"Please correct the address.","Proszę popraw adres"
"You saved this gift registry.","Ten rejestr prezentów został zapisany."
"We couldn't save this gift registry.","Nie można zapisać tego rejestru prezentów."
"Gift Registry Items","Produkty w rejestrze prezentów"
"Something went wrong while sending email(s).","Coś poszło nie tak podczas wysyłania e-mail(s)"
"Something went wrong while sharing the gift registry.","Coś poszło nie tak podczas dzielenia się rejestrem prezentów."
"You updated the gift registry items.","Zaktualizowałeś produkty rejestru prezentów."
"We couldn't update the gift registry.","Nie można zaktualizować rejestru prezentów."
"The wish list item has been added to this gift registry.","Produkt z listy życzeń został dodany to rejestru prezentów."
"We couldn’t add your wish list items to your gift registry.","Nie można było dodać produktów z Twojej listy życzeń do twojego rejestru prezentów."
"Please enter correct search options.","Proszę wpisać poprawne opcje wyszukiwania."
"Please enter at least 2 letters of the first name.","Podaj co najmniej 2 litery imienia."
"Please enter at least 2 letters of the last name.","Podaj co najmniej 2 litery nazwiska."
"Please enter a valid email address.","Prosimy wpisać poprawny adres e-mail"
"Please enter a gift registry ID.","Proszę wprowadź ID rejestru prezentów."
"Please enter the quantity of items to add to cart.","Proszę wprowadź ilość przedmiotów do dodania do koszyka."
"We can't add this item to your shopping cart right now.","Teraz nie ma możliwości dodania tego produktu do Twojego koszyka."
"Gift Registry Info","Informacja o rejestrze prezentów"
"Please enter the ""%1"".","Wpisz ""%1""."
"Please enter the correct ""%1"".","Proszę wprowadź poprawnie %1"
"Custom Types","Typy niestandardowe"
"Static Types","Typy statyczne"
label,etykieta
"Product has required options.","Produkt posiada wymagane opcje."
"You need to enter sender data.","Należy wprowadzić dane nadawcy."
"Please add invitees.","Proszę dodać zaproszonych."
"You cannot send emails to more than %1 recipients at once","Nie można wysyłać e-maile do więcej niż %1 odbiorców na raz"
"Please enter a valid invitee email address.","Wprowadź adres e-mail osoby zaproszonej."
